name,image,condition,days,difficulty,overview,tips,featured,addedDate
Township,assets/game-art/township.webp,指定条件クリア,"Lv60：完走データ蓄積中／Lv70高速例：33日でLv61","Lv60：普通〜やや難／Lv70：難しい","街づくりと農業・生産を進めながらプレイヤーレベルを上げるシミュレーションゲーム。ポイ活ではLv5〜70などのStepUp型が中心で、後半ほど必要XPと待ち時間が重くなる。","XPが入る注文・列車・建築を並行し、納屋を詰まらせない。市場・商人で不足品の待ち時間を減らし、Lv60到達時点で残日数を見てLv70へ進むか判断する。",true,2026-08-29
きのこ伝説,assets/game-art/kinoko.webp,指定条件クリア,"Lv100実例9〜10日／Lv110 19〜21日／Lv120 29日","普通〜やや難（Lv125は高難度）","ランプを消費して装備を更新し、放置収益や試練で育成を進める放置系RPG。ポイ活ではステージ到達・プレイヤーレベル・課金条件を組み合わせたStepUp案件が中心。","ランプの回収と消費を最優先し、放置収益・試練・ルーレットなどの日課を溢れさせない。Lv100到達日と残日数を基準にLv120・125まで続行するか判断する。",true,2026-08-29
メメントモリ,https://mememori-game.com/assets/img/top/game_06.jpg,指定条件クリア,"ランク110実例：22〜38日",普通〜やや難,"放置で育成素材と経験値を集め、5人編成でメインクエストを進めるRPG。ポイ活ではプレイヤーランク到達型のStepUp案件が中心。","主力1体へ育成を集中し、メインクエスト・高速バトル・放置報酬を毎日回収。潜在宝珠を序盤から確保する。",true,2026-08-29
ワーキングヒーロー,,指定条件クリア,"序盤1日〜・重いStep40日以上",普通〜高難度,"近未来の職業ヒーローを育成するコマンドRPG。現行ポイ活はランク・PVP・チーム/イベントメダルなど複数Step。","★5ガチャ後はダイヤをAP用に温存し、ランク・PVP・チームメダルを初日から並行。重いStepは残日数で撤退判断。",true,2026-08-29
ホワイトアウト・サバイバル,,指定条件クリア,"Lv23中央値17日・Lv26実例20〜25日",難しい,"極寒世界で大溶鉱炉と街を発展させるサバイバル戦略ゲーム。ポイ活は大溶鉱炉Lv到達のStepUp型が中心。","第2建設枠とアクティブ同盟を早めに使い、大使館・兵舎・研究所など次の前提施設を先回り。建設加速を温存しすぎない。",false,2026-09-01
東京ディバンカー,,3日間連続ログインボーナス獲得,3日,簡単,"怪異事件を題材にしたストーリー・育成系ゲーム。現在確認できるポイ活案件は3日間連続ログイン型で、重い育成条件ではなく短期達成を狙いやすい。","初回起動後に案件の判定中・挑戦中表示を確認し、3日間ログインを切らさない。開始時の条件とポイント数は保存しておく。",true,2026-09-04
パズル＆サバイバル,,StepUpミッション,"主要Stepは30日以内・一部5日以内",普通〜高難度,"マッチ3パズルと拠点建設を組み合わせたストラテジーゲーム。現行案件はコントロールセンター到達、英雄育成、各種購入を含むStepUp型が中心。","序盤から建設を止めず、活発なギルドに入り、資源と加速をCC育成へ集中。一部の短期限Stepと課金Stepは開始前に確認する。",false,2026-09-04
キングショット,,StepUpミッション,"Stepにより10〜70日",普通〜高難度,"中世を舞台に拠点と役場を発展させる戦略シミュレーション×放置サバイバルゲーム。現行案件は役場レベル到達・課金・黄金レベル到達を組み合わせたStepUp型。","建設を止めず、早い段階で活発な同盟へ加入。資源採集と建設加速を切らさず、後半Stepは残日数と必要資源を見て続行判断する。",false,2026-09-04
放置少女,,45日以内にプレイヤーレベル120到達,"2026年実例15〜24日／期限45日",簡単〜普通,"三国志世界を題材にした放置系RPG。ポイ活ではプレイヤーレベル120（1転生Lv20）到達型が中心で、放置経験値と高速放置の積み重ねが重要。","初日にメイン戦場を進め、主力副将へ育成を集中。放置報酬と高速放置を毎日回収し、後半は残日数とレベル上昇ペースを確認する。",true,2026-09-04
エバーテイル,,3日間連続ログインボーナス獲得,3日,簡単,"モンスター育成・ターン制バトル・ストーリーを楽しむRPG。現行ポイ活では3日連続ログインボーナス型があり、深い育成より広告計測と連続ログインの維持が重要。","案件リンクから1時間以内に初回起動し、チュートリアル後にDay1ボーナスを受取。判定中を確認し、Day2・Day3もログインボーナス受取まで確認する。",true,2026-09-04
