game,site,provider,reward,condition,platform,type,deadline,updatedAt,url,sourceUrl,verified
Township,moppy,,8000,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://moppy.jp/,false
Township,coincome,,10500,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://cimcome.jp/,false
Township,mercari,,9200,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://help.jp.mercari.com/guide/articles/1888/,false
メメントモリ,moppy,,6500,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://moppy.jp/,false
メメントモリ,coincome,,7200,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://cimcome.jp/,false
メメントモリ,mercari,,6800,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://help.jp.mercari.com/guide/articles/1888/,false
きのこ伝説,moppy,,7800,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://moppy.jp/,false
きのこ伝説,coincome,,8400,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://cimcome.jp/,false
きのこ伝説,mercari,,8100,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://help.jp.mercari.com/guide/articles/1888/,false
ワーキングヒーロー,moppy,,9000,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://moppy.jp/,false
ワーキングヒーロー,coincome,,9800,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://cimcome.jp/,false
ワーキングヒーロー,mercari,,9300,指定条件クリア,iOS|Android,通常,,2026-08-29,,https://help.jp.mercari.com/guide/articles/1888/,false
